STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2014,47.3,33.38046265,76.64112091,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2014,38.3,35.7109108,65.70263672,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2014,238.7,203.8070374,363.0606689,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/12/2014,124.3,159.5883636,549.2919922,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2015,246.6,327.5628662,481.9845276,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2015,97.3,108.279129,293.2276001,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2015,93.4,108.4499969,314.1918335,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2015,202.5,141.4253082,455.4822693,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2015,332.4,431.7919312,732.0377197,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2015,267.3,357.725769,731.8273926,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2015,258.4,304.7826843,329.0696411,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2015,210,173.4890747,157.0876007,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2015,117.7,103.3674393,81.11789703,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2015,26.1,65.31645203,34.25120544,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2015,81.8,106.1314011,219.9472046,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/12/2015,196,187.668396,450.6550903,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2016,201.5,0.899999976,90.57209778,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2016,194.5,199.4880676,281.164856,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2016,55.6,75.98654175,182.9017181,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2016,259,374.294281,621.6430664,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2016,410.2,414.8248291,924.4066162,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2016,249.3,363.3192444,528.0049438,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2016,82.6,137.1358795,151.0406952,,,,
