Date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/08/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,147.2,102.857811,188.7173309
1/09/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,89.7,88.03052521,121.0191345
1/10/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,140.8455353,204.3016205
1/11/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,145.867157,124.1460419
1/12/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,444.2533569,294.2748718
1/01/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,184.7349548,298.3794556
1/02/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,242.8630371,282.6867981
1/03/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,265.198761,294.3256531
1/04/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,216.4976196,282.4628906
1/05/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,148.6280365,209.2086182
1/06/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,283.6794128,258.1399536
1/07/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,198.7807922,108.3757172
1/08/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,86.59751892,107.5382614
1/09/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,80.34519958,103.7879639
1/10/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,131.4073944,188.0787659
1/11/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,167.202713,266.5626526
1/12/2016,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,236.2118988,263.6879883
